PassengerId,Survived,Pclass,Sex,Age,SibSp,Parch,Ticket,Boarding,Fare,Cabin,Embarked,Deck,Embarked-C,Embarked-Q,Embarked-S,Deck-A,Deck-B,Deck-C,Deck-D,Deck-E,Deck-F,Deck-G,Deck-T,FamilySize,AgeGroup
1,0,3,1,22.0,1,0,A/5,21171,7.25,,S,F,0,0,1,0,0,0,0,0,1,0,0,2,Adult (19-59)
2,1,1,0,38.0,1,0,PC,17599,71.2833,C85,C,C,1,0,0,0,0,1,0,0,0,0,0,2,Adult (19-59)
3,1,3,0,26.0,0,0,STON/O2.,3101282,7.925,,S,F,0,0,1,0,0,0,0,0,1,0,0,1,Adult (19-59)
4,1,1,0,35.0,1,0,,113803,53.1,C123,S,C,0,0,1,0,0,1,0,0,0,0,0,2,Adult (19-59)
5,0,3,1,35.0,0,0,,373450,8.05,,S,F,0,0,1,0,0,0,0,0,1,0,0,1,Adult (19-59)
6,0,3,1,27.57529915600457,0,0,,330877,8.4583,,Q,F,0,1,0,0,0,0,0,0,1,0,0,1,Adult (19-59)
7,0,1,1,54.0,0,0,,17463,51.8625,E46,S,E,0,0,1,0,0,0,0,1,0,0,0,1,Adult (19-59)
8,0,3,1,2.0,3,1,,349909,21.075,,S,F,0,0,1,0,0,0,0,0,1,0,0,5,Child (0-12)
9,1,3,0,27.0,0,2,,347742,11.1333,,S,F,0,0,1,0,0,0,0,0,1,0,0,3,Adult (19-59)
10,1,2,0,14.0,1,0,,237736,30.0708,,C,F,1,0,0,0,0,0,0,0,1,0,0,2,Teen (13-18)
11,1,3,0,4.0,1,1,PP,9549,16.7,G6,S,G,0,0,1,0,0,0,0,0,0,1,0,3,Child (0-12)
12,1,1,0,58.0,0,0,,113783,26.55,C103,S,C,0,0,1,0,0,1,0,0,0,0,0,1,Adult (19-59)
13,0,3,1,20.0,0,0,A/5.,2151,8.05,,S,F,0,0,1,0,0,0,0,0,1,0,0,1,Adult (19-59)
14,0,3,1,39.0,1,5,,347082,31.275,,S,F,0,0,1,0,0,0,0,0,1,0,0,7,Adult (19-59)
15,0,3,0,14.0,0,0,,350406,7.8542,,S,F,0,0,1,0,0,0,0,0,1,0,0,1,Teen (13-18)
16,1,2,0,55.0,0,0,,248706,16.0,,S,F,0,0,1,0,0,0,0,0,1,0,0,1,Adult (19-59)
17,0,3,1,2.0,4,1,,382652,29.125,,Q,F,0,1,0,0,0,0,0,0,1,0,0,6,Child (0-12)
18,1,2,1,41.600088411831514,0,0,,244373,13.0,,S,F,0,0,1,0,0,0,0,0,1,0,0,1,Adult (19-59)
19,0,3,0,31.0,1,0,,345763,18.0,,S,F,0,0,1,0,0,0,0,0,1,0,0,2,Adult (19-59)
20,1,3,0,24.91564232651324,0,0,,2649,7.225,,C,F,1,0,0,0,0,0,0,0,1,0,0,1,Adult (19-59)
21,0,2,1,35.0,0,0,,239865,26.0,,S,F,0,0,1,0,0,0,0,0,1,0,0,1,Adult (19-59)
22,1,2,1,34.0,0,0,,248698,13.0,D56,S,D,0,0,1,0,0,0,1,0,0,0,0,1,Adult (19-59)
23,1,3,0,15.0,0,0,,330923,8.0292,,Q,F,0,1,0,0,0,0,0,0,1,0,0,1,Teen (13-18)
24,1,1,1,28.0,0,0,,113788,35.5,A6,S,A,0,0,1,1,0,0,0,0,0,0,0,1,Adult (19-59)
25,0,3,0,8.0,3,1,,349909,21.075,,S,F,0,0,1,0,0,0,0,0,1,0,0,5,Child (0-12)
26,1,3,0,38.0,1,5,,347077,31.3875,,S,F,0,0,1,0,0,0,0,0,1,0,0,7,Adult (19-59)
27,0,3,1,28.209802662891896,0,0,,2631,7.225,,C,F,1,0,0,0,0,0,0,0,1,0,0,1,Adult (19-59)
28,0,1,1,19.0,3,2,,19950,263.0,C23 C25 C27,S,C,0,0,1,0,0,1,0,0,0,0,0,6,Adult (19-59)
29,1,3,0,24.581047430130663,0,0,,330959,7.8792,,Q,F,0,1,0,0,0,0,0,0,1,0,0,1,Adult (19-59)
30,0,3,1,40.86975150642072,0,0,,349216,7.8958,,S,F,0,0,1,0,0,0,0,0,1,0,0,1,Adult (19-59)
31,0,1,1,40.0,0,0,PC,17601,27.7208,,C,C,1,0,0,0,0,1,0,0,0,0,0,1,Adult (19-59)
32,1,1,0,39.514741677812005,1,0,PC,17569,146.5208,B78,C,B,1,0,0,0,1,0,0,0,0,0,0,2,Adult (19-59)
33,1,3,0,13.77972974981737,0,0,,335677,7.75,,Q,F,0,1,0,0,0,0,0,0,1,0,0,1,Teen (13-18)
34,0,2,1,66.0,0,0,C.A.,0,10.5,,S,F,0,0,1,0,0,0,0,0,1,0,0,1,Senior (60+)
35,0,1,1,28.0,1,0,PC,17604,82.1708,,C,C,1,0,0,0,0,1,0,0,0,0,0,2,Adult (19-59)
36,0,1,1,42.0,1,0,,113789,52.0,,S,C,0,0,1,0,0,1,0,0,0,0,0,2,Adult (19-59)
37,1,3,1,10.87571546748461,0,0,,2677,7.2292,,C,F,1,0,0,0,0,0,0,0,1,0,0,1,Child (0-12)
38,0,3,1,21.0,0,0,A./5.,2152,8.05,,S,F,0,0,1,0,0,0,0,0,1,0,0,1,Adult (19-59)
39,0,3,0,18.0,2,0,,345764,18.0,,S,F,0,0,1,0,0,0,0,0,1,0,0,3,Teen (13-18)
40,1,3,0,14.0,1,0,,2651,11.2417,,C,F,1,0,0,0,0,0,0,0,1,0,0,2,Teen (13-18)
41,0,3,0,40.0,1,0,,7546,9.475,,S,F,0,0,1,0,0,0,0,0,1,0,0,2,Adult (19-59)
42,0,2,0,27.0,1,0,,11668,21.0,,S,F,0,0,1,0,0,0,0,0,1,0,0,2,Adult (19-59)
